label	id	approved	datestart	dateend	name	shortname	hashtag	homepage	presentation form	onlinebanner	city	country	venue	OSM-Link	lat	lon	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Main Organiser	Specialties	First Edition	Main Sponsors	Edition’s Topic	Technologies in use	Online Interactivity	Technical Liberties	Timezone	Twitter	Mastodon	Telegram	Git*	Instagram	LinkedIn	Facebook	Youtube	Matrix	Mailinglist	cancelled	replacement	replaces	cancellation_description
Chemnitzer Linux-Tage	1670336571	yes	20230311	20230312	Chemnitzer Linux-Tage 2023	CLT	#CLT2023, #CLT	https://chemnitzer.linux-tage.de/2023/en/	offline	/img/eventbanners/2023/2023-clt.png	Chemnitz	DE	Technische Universität Chemnitz	https://www.openstreetmap.org/way/30742889	50.81357	12.92928	https://chemnitzer.linux-tage.de/2023/en/info/miteinander	<p>In 2023 the Chemnitz Linux Days have found a place on a weekend in March again, still in a different form, namely virtual. Pick up your schedule and make a big mark on 11th and 12th of March 2023. You won't regret it.</p><p>We very much wish to see you again on site and hope that the situation in March will allow us to invite Linux and open source friends to Chemnitz in early 2023. Currently we are planning for an on site event in the usual environment. You can keep yourself up to date on this via our press releases and social media.</p>	20230104	https://chemnitzer.linux-tage.de/2023/en/programm/call-for-lectures	Community Event	Linux	?	?	3600 last time at the physical event in the Technische Universität Chemnitz. In the online editions in 2021 and 2022 up to 1500 visitors similtaneously.	DE	Individual Network Chemnitz e.V.	"Tech support in <a href=""https://chemnitzer.linux-tage.de/2022/en/addons/praxis"">Surgery Dr.Tux</a>"	1999		Bewusst sein				UTC+2	http://chemnitzer.linux-tage.de/twitter	https://mastodon.social/@clt_news					https://chemnitzer.linux-tage.de/facebook							
Libre en Fête	1676745564	yes	20230320	20230320	Libre en Fête			https://www.libre-en-fete.net/2023/				FR					nococ				Regional Day				?																								
Ansible Contributor Summit Europe			20200329	20200329	Ansible Contributor Summit Europe			https://www.eventbrite.com/e/ansible-contributor-summit-eu-registration-92039844653			Gothenburg	SE	Chalmers Conference Centre	https://www.openstreetmap.org/node/6390774037	57.68926	11.97338	https://docs.ansible.com/ansible/latest/community/code_of_conduct.html	The Ansible Contributor Summit is a full day of working sessions with the Ansible core team and community contributors. This year the European edition will be held in Gothenburg, in conjunction with foss-north 2020,as part of the Community Day.			Community Event	ansible	Zeroi	Yes	100	EN	Ansible (Red Hat)									https://twitter.com/ansible													
openSUSE Summit Dublin			20200327	20200328	openSUSE Summit Dublin	openSUSE Summit		https://events.opensuse.org/conferences/Dublin			Dublin	IE	Convention Centre	https://www.openstreetmap.org/way/60270053	53.34823	-6.23953		The openSUSE Conference begins Friday, May 24, at 10 a.m. and will finish on Sunday, May 26. The openSUSE Conference is the annual openSUSE community event that brings people from around the world together to meet and collaborate. The organized talks, workshops, and BoF sessions provide a framework around more casual meet ups and hack sessions. A party here and there provides the time to relax and have fun, making connections on a more personal level.	20200214	https://events.opensuse.org/conferences/Dublin/program/proposals/new	Project Event	OpenSUSE,Dublin	?	https://events.opensuse.org/conferences/Dublin/register/new	?	EN	OpenSUSE									https://twitter.com/opensuse													
KubeCon + CloudNativeCon Europe			20200330	20200402	KubeCon + CloudNativeCon Europe			https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/			Amsterdam	NL	RAI Amsterdam Convention Centre	https://www.openstreetmap.org/way/548207841	52.34051	4.88892	https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/attend/code-of-conduct/	The Cloud Native Computing Foundation’s flagship conference gathers adopters and technologists from leading open source and cloud native communities in Amsterdam, The Netherlands from March 30 – April 2, 2020. Join Kubernetes, Prometheus, Envoy, CoreDNS, containerd, Fluentd, TUF, Jaeger, Vitess, OpenTracing, gRPC, CNI, Notary, NATS, Linkerd, Helm, Rook, Harbor, etcd, Open Policy Agent, CRI-O, TiKV, CloudEvents and Falco as the community gathers for four days to further the education and advancement of cloud native computing.	20191204	https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/	Business Event	Kubernetes, Prometheus, Cloud	450$	https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/register/	?	EN	Linux Foundation																						
Document Freedom Day			20200325	20200325	Document Freedom Day			https://en.wikipedia.org/wiki/Document_Freedom_Day													Global Day																												
Erlanger Linuxtag	1674502303		20230520	20230520	Erlanger Linuxtag	erlug	#erlug	https://erlug.de/erlanger-linux-tag-2023/	offline		Erlangen	DE	VHS-Erlangen: Café International	https://www.openstreetmap.org/way/104783535#map=19/49.59752/11.02464	49.59752	11.02464	nococ	<p>Im Mai ist es wieder soweit! Endlich können wir wieder live einen Linux-Tag veranstalten. Egal, ob Du Dir Linux erstmal anschauen möchtest oder schon Linux Nutzer bist: Am 20. Mai 2023 findest Du genug Gelegenheit für Austausch und Inspiration!</p><p>Call for Papers/Presentations: Gesucht werden noch Vorträge und Workshops zu allen Themen rund um freie Software, Linux, die Open-Source-Community, freie Kultur und Open Data, Netzpolitik und Schutz der Privatsphäre, Erfahrungsberichte und Geschäftsmodelle und Best Practices. Die Vorträge werden aufgezeichnet und danach der Allgemeinheit zur Verfügung gestellt.</p><p>Wir freuen uns über Deine Einsendung! Ende der Einreichungsphase ist der 26. März.</p>	20230326	https://erlug.de/erlanger-linux-tag-2023/	Community Event	Linux	?	?	?	DE	Erlanger Linux User Group										https://social.anoxinon.de/@erlug												
Kubernetes Contributor Summit Europe			20200329	20200330	Kubernetes Contributor Summit Europe			https://events.linuxfoundation.org/kubernetes-contributor-summit-europe/			Amsterdam	NL	RAI Amsterdam Convention Centre	https://www.openstreetmap.org/way/548207841	52.34051	4.88892			20200207	https://docs.google.com/forms/d/e/1FAIpQLSfTv0YcPDomj5vPsMEodv9xS3Zd6CZWDVMcL0kGF8FjL9ADDA/viewform	Project Event	Kubernetes			?	EN	Linux Foundation																						
foss-north			20220420	20220421	Foss-north 2022		#fossnorth	https://foss-north.se/2022/	online	/img/eventbanners/2022/2022-Foss-north.png			On the Internet				https://foss-north.se/2022/coc.html	foss-north is a free / open source conference covering both software and hardware from the technical perspective. Hosted in Gothenburg between Copenhagen, Oslo, and Stockholm, with an international airport, we provide a meeting place for the Nordic foss communities and will bring together great speakers with a great audience.			Community Event	floss,foss				EN																							
Collaborations Workshop			20210330	20210401	Collaborations Workshop 2021	CW21	#CollabW21	https://www.software.ac.uk/cw21	online			UK	On the Internet				https://www.software.ac.uk/cw21/code-of-conduct	<p>The Software Sustainability Institute’s Collaborations Workshop series brings together researchers, developers, innovators, managers, funders, publishers, policy makers, leaders and educators to explore best practices and the future of research software. Collaborations Workshop 2021 (CW21) will take place online from Tuesday, 30th March to Thursday, 1st April 2021. </p><p>The themes of CW21 are:</p><ul><li>FAIR Research Software</li><li>Diversity and Inclusion</li><li>Software Sustainability</li></ul>			Science Event	Sustainability, FAIR, Inclusion	?	yes	?	EN	Software Sustainability Institute		2009			?	?	?	UTC+1	https://twitter.com/SoftwareSaved													
European Open Source & Free Software Law Event			20200402	20200402	European Open Source & Free Software Law Event	EOLE	#EOLE2020	http://eolevent.eu/			Turin	IT		https://www.openstreetmap.org/relation/43992	45.0736	7.6328	nococ	"<p>International annual conference cycle, the European Open Source & Free Software Law Event (EOLE) aims to promote the share and dissemination of legal knowledge related to free software, as well as the development and promotion of good practices. Initiative born in 2008 from practitioners' needs, EOLE has for purpose to develop a legal doctrine dedicated to the dissemination of neutral and qualitative information. This year, the one-day conference will take place in Turin (Italy) on April 2nd.</p><p>For a long time, Free and Open Source Software has been more a ""potential"" rather than a reality in Public Administration, dominated by large private sector IT contracts. In the last few years, however, Public Administrations around the world have really started to take FOSS seriously on a formal basis, with significant initiatives (such as laws fostering free software adoption or distribution by Public Administrations, and the EU ""Join-Up"" program).</p><p>This year's EOLE conference, held in association with CSI Piemonte, in the frame of Merge-it, in Torino on 2nd April 2020, will focus on the current legal issues of creating and using free and open source software in public administration.</p>"	20200301	http://eolevent.eu/call-contributions-eole-2020	Legal Event		Zero	<a href=”http://eolevent.eu/content/registration”>Possible</a> but not mandatory	200	EN	CSI Piemonte				Legal aspects on free software in public administrations: hands on.																		
MERGE-it			20210522	20210522	MERGE-it	MERGE-it	#mergeit20	https://merge-it.net/	online				On the Internet				nococ	<p> In Italia esistono tante realtà che si occupano di cultura e libertà digitali, sotto molti aspetti ed in molti modi. Scopo di MERGE-it è riunirle insieme, per conoscersi e farsi conoscere, discutere e dibattere, confrontarsi e misurarsi.</p><p>L'evento è aperto a tutti, la partecipazione gratuita, e non è richiesta registrazione.</p>			Community Event		Zero	no	?	IT																							
Les Journées du Logiciel Libre			20200404	20200405	Les Journées du Logiciel Libre 2020	JDLL		https://jdll.org/			Lyon	FR	Maison Pour Tous – salle des Rancy 	https://www.openstreetmap.org/way/49680968	45.7559	4.84781	https://jdll.org/histoire/code-of-conduct	Lieu de rencontre bouillonnant depuis 1998, les journées du logiciel libre accueillent le temps d'un week-end les curieuses et curieux de tout bord. Qu'importe votre niveau, venez vous initier, partager vos idées, vos programmes, vos projets et construire ensemble des lendemains plus libres !	20200208	https://pretalx.jdll.org/jdll2020/login/?next=/jdll2020/cfp	Community Event	install party,info booths	Zero	no	?	FR																							
Libertybits			20200407	20200407	Libertybits			https://libertybits.org/			Sofia	BG	Sofia Tech Park's Forum	https://www.openstreetmap.org/way/334366114	42.6684	23.3746	https://libertybits.org/code-of-conduct/	<p>The concentration of great power into very small number of players (a.k.a. centralization) puts them in a dominant position and leads to misuse of the acquired power. This includes governmental, political, economical and corporate power.</p><p>The goal of LibertyBits Conference is to stress out this critical ethical issue, focusing on 4 major topics (blockchain, privacy, free software and independent living) in order to reveal as much opportunities as possible about how we could avoid (or even escape) our dependency from the monopolies of power and how we can achieve more sustainable and peaceful life through decentralization.</p>					3	yes	?	EN																							
Trustroots Hackweek	f		20200411	20200419	Trustroots Hackweek Spring 2020			https://wiki.trustroots.org/en/Hackweek_Spring_2020	online		The Internet		tba		51.3409	12.2892	nococ	<p>Trustroots is still going strong since the launch back in 2016, but keeping momentum is these kind of projects is hard, we've been having a bit of a reboot of the team, now that some of the founders are less available with the usual family and work commitments.</p><p>We've been having regular video meetings for the last few months, and want to connect more with each other and the wider community of users to help build the future of Trustroots. This is a really crucial time for defining the future of the platform, there are many ideas and many directions.</p><p>Not many platforms manage to be free from commercialization or data violations, so please, help us to keep Trustroots resilient!</p>			Hackmeeting	trustroots,couchsurfing,	Zero	Space is not an issue and anyone can join!	?	EN		"<p><strike>It's being held in a community house project, accommodation is free, and a mix of dorms, communal sleeping, and a small number of private rooms available.</strike></p><p><strike>Food is saved, and free, your dietary needs will be accommodated :) We will expect your participation in food preparation and other ""domestic"" tasks as needed throughout the week.</strike></p>"																					
JASYP			20220422	20220423	Jornadas de Anonimato, Seguridad y Privacidad	JASYP 2022		https://jasyp.interferencias.tech/			Granada	ES	Carmen de la Victoria	https://www.openstreetmap.org/way/197139208	37.18091	-3.58902	https://jasyp.interferencias.tech/conducta	"Jornadas de Anonimato, Seguridad y Privacidad. Un evento de INTERFERENCIAS.
22-23 de Abril - Carmen de la Victoria (Granada)"			Community Event	anonimity,privacy				ES			2017							https://twitter.com/Inter_ferencias	https://mastodon.technology/@interferencias							https://matrix.to/#/#inter_ferencias:matrix.org					
Software Freedom Kosova			20200417	20200419	Software Freedom Kosova Conference 2020	SFK	#	https://sfk.flossk.org/sfk20/			Prishtina	KO		https://www.openstreetmap.org/#map=17/42.66043/21.15946	42.66043	21.15946	nococ	<p>Software Freedom Kosova Conference (SFK) is one of the biggest and oldest annual conferences in Southeast Europe established to promote software freedom, open culture and free knowledge. It is run by FLOSSK, a Kosovo NGO.</p><p>The Conference gathers each year developers, academicians and users who share the idea that software should be free and open for the community to use and customize to its needs.</p><p>The theme in 2020 is *Sensors for Good*. We aim to show ways to sense the world around us to do good: whether software, hardware or data. Call for speakers is now open and funding for speakers' travel and accommodation is available.</p>			Community Event	FLOSSK	Zero	no	300	EN					Sensors for good					http://twitter.com/flosskosova	https://mastodon.cloud/@flossk												
