id	approved	datestart	dateend	label	name	shortname	hashtag	homepage	presentation form	onlinebanner	city	country	venue	OSM-Link	lat	lon	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Main Organiser	Specialties	First Edition	Main Sponsors	Edition’s Topic	Technologies in use	Online Interactivity	Technical Liberties	Timezone	Twitter	Mastodon	Telegram	Git*	Instagram	LinkedIn	Facebook	Youtube		cancelled	replacement	replaces	cancellation_description
21010		20210206	20210207	OFFDEM	Open For Freedom Desiring Emancipation Meaning	OFFDEM	OFFDEM	https://ps.zoethical.org/t/offdem-the-offline-developer-european-meeting/2861	offline	/img/eventbanners/2021/2021-offdem.png	Brussels	BE	“OFFDEM’s location will be disclosed when we know it, and under conditions suitable for a joyful encounter without unwanted interference.”	https://www.openstreetmap.org/relation/58274	50.8552	4.3327		<p>Already last year les petites singularités were arguing for smaller gatherings that would stigmergically[1] connect globally. While the global situation has pushed further digital concentration in the greedy hands of corporation, we stand behind this principle, and propose OFFDEM, a smaller gathering that is not affected by the impossibility to organize large gatherings.</p><p>The current crisis only increased the takeover of our lives by corporate online tools that create an addiction and format our interactions to their criteria. This brings us to acknowledge the pertinence of pursuing our dissenting line of conduct.</p><p>Free software tools bind with communities and actual life issues, they do not serve to replace existing human relations but to strengthen people’s agency and help organize the information they produce. We do not accept that our social relations be replaced by tools defined according to corporate agendas.</p>			Unconference	counter culture,feminism,collective	Zero	Given the context of “global pandemy” and the accompanying safetyrepressive security measures taken by States everywhere, we need to know in advance who’sif you’re coming so we can track the event capacity and avoid having to deal with too much affluence.	50	EN	Petites Singularités		2020	none																		
1638181698	yes	20220205	20220206	FOSDEM	Free and Open Source Software Developers European Meeting	FOSDEM	fosdem, fosdem22	https://fosdem.org/2022/ 	online	/img/eventbanners/2022/2022-fosdem.png			On the internet				https://fosdem.org/2022/practical/conduct/	<p>FOSDEM is a free event for software developers to meet, share ideas and collaborate.</p> <p>Every year, thousands of developers of free and open source software from all over the world gather at the event in Brussels.</p>	20211102	https://fosdem.org/2022/news/2021-11-02-devroom-cfp/	Community Event,Festival	Development,Security	Zero	no	FOSDEM is Europe's biggest annnual Free and Open Source gathering. Physical attendance has increased up to 7.500 in 2020 and the online version 2021 has had a pak of 33.500 visitors.	EN	Fosdem Team	<p>* The largest and most known FOSS event in Europe;<br />* Developer Rooms for FOSS projects;<br />*“Beerdrinking” event with free as in free beer;<br />* surrounded by satellite events;</p>	2001	Cisco, Colt, OpenTAP, Université Libre de Bruxelles		Matrix	Matrix Chat Rooms and Developer Rooms	"<p><span class=""badge badge--green"">Complete</span></p><p>Users can access all content and fully participate in the online event by using FOSS only and the backend is using FOSS only as well.</p>"	UTC+2	https://twitter.com/fosdem	https://fosstodon.org/@fosdem			https://www.instagram.com/fosdem/		https://facebook.com/fosdem						
21012	unlikely	20200203	20200203	CopyleftConf	Second Annual International Copyleft Conference	CopyleftConf	CopyleftConf	https://2020.copyleftconf.org/			Brussels	BE	La Tricoterie	https://www.openstreetmap.org/way/225596975	50.8303	4.33676	https://2020.copyleftconf.org/code-of-conduct	This will be the second annual International Copyleft Conference. Participants from throughout the copyleft world — developers, strategists, enforcement organizations, scholars and critics — will be welcomed for an in-depth, high bandwidth, and expert-level discussion about the day-to-day details of using copyleft licensing, obstacles facing copyleft and the future of copyleft as a strategy to advance and defend software freedom for users and developers around the world.	20191103	https://2020.copyleftconf.org/program/call-for-proposals	Community Event	Copyleft,Licensing	Zero	no	150	EN																						
21013	postponed	20200203	20200205	Config Management Camp	Configuration Management Camp	CfgMgmtCamp	CfgMgmtCamp	https://cfgmgmtcamp.eu/			Gent	BE	HoGent - Campus SchoonMeersen	https://www.openstreetmap.org/?mlat=51.03425&mlon=3.70149#map=19/51.03425/3.70149	51.03425	3.70149	https://cfgmgmtcamp.eu/ghent2020/codeofconduct/	Configuration Management Camp is the event for technologists interested Open Source Infrastructure automation and related topics. This includes but is not limited to top Open Source Configuration Management, Provisioning, Orchestration, Choreography, Container Operations, and many more topics.	20191103	https://cfp.cfgmgmtcamp.be/2020/cfp	Community Event	Infrastructure,Configuration Management	Zero	https://registration.cfgmgmtcamp.be/ghent/2020/	?	EN										https://twitter.com/cfgmgmtcamp												
																																																
1638149151	yes	20220214	20220214	I love Free Software Day	I love Free Software Day	IloveFS day	IloveFS	https://ilovefs.org/	online	/img/eventbanners/2021/2022-ilovefs.png											Global Day	Love,Hugs,IloveFS																										
21016		20200218	20200222	FOSS4G-IT	FOSS4G-IT 2020			https://foss4g-it2020.gfoss.it/			Turin	IT	Politecnico	https://www.openstreetmap.org/?mlat=45.06289&mlon=7.66108#map=18/45.06289/7.66108	45.06289	7.66108		<p>Dal 18 al 22 febbraio 2020 il Politecnico di Torino ospiterà il convegno su Software e Dati Geografici Free e Open Source FOSS4G-it 2020, organizzato congiuntamente da: Politecnico di Torino, Associazione Italiana per l'Informazione Geografica Libera GFOSS.it e Wikimedia Italia</p><p>FOSS4G-it 2020 raccoglie insieme il XXI Meeting degli utenti italiani di GRASS e GFOSS, il XIII GFOSS DAY e OSMit 2020, incontri annuali di diverse comunità utilizzatrici di dati geografici liberi e software free e open source che dal 2017 hanno deciso di unirsi in un unico evento.</p><p>Il successo delle edizioni precedenti (2017 a Genova, 2018 a Roma, 2019 a Padova) ha definitivamente posto FOSS4G-it come uno degli appuntamenti di riferimento a livello nazionale per utilizzatori e sviluppatori di software geografico libero e per produttori e fruitori di dati geografici liberi, senza tralasciare le occasioni di scambio tra le persone appartenenti a tutte le comunità che guardano alle soluzioni libere nel campo dell'informazione geografica.</p>			Community Event	Wikimedia Italia	Zero / 10€ for the workshops	https://foss4g-it2020.gfoss.it/registrazione	?	IT	Gfoss-it																					
1638231549	yes	20220225	20220226	Winterkongress	Winterkongress der Digitalen Gesellschaft	Winterkongress	Winterkongress	https://www.winterkongress.ch/2022/	offline		Zurich	CH	Rote Fabrik	https://www.openstreetmap.org/?mlat=47.343319952487946&mlon=8.536315262317657#map=19/47.34332/8.53632	47.34332	8.53632		<p>Die Winterkongress ist das jährliche Treffen der Digitalen Gesellschaft: Am Freitagabend, 25. und Samstag, 26. Februar 2022 kommen zum fünften Mal Hacker, Programmiererinnen, Aktivisten und Interessierte (nach aktueller Planung) in Zürich in der Roten Fabrik zusammen, um sich zu den Themen rund um Informationstechnologie, der Vernetzung und deren Auswirkungen auf unsere Gesellschaft auszutauschen.</p>	20211202	https://cfp.winterkongress.ch/wk22/cfp	Community Event	Informationstechnologie,Vernetzung,Gesellschaft	20 CHF		Last physical meeting: 420 (2019)	DE	Digitale Gesellschaft CH		2018		Reclaim Democracy																	
1638181766	yes	20220822	20220828	FOSS4G 2022	FOSS4G 2022		foss4g	https://2022.foss4g.org/		/img/eventbanners/2022/2022-foss4g.png 	Firenze	IT	Firenze Fiera Congress & Exhibition Cente	https://www.openstreetmap.org/#map=18/43.77831/11.24938	43.77831	11.24938	https://2022.foss4g.org/code_conduct.php	The FOSS4G annual international gathering.		https://2022.foss4g.org/call_for_paper.php			?	https://2022.foss4g.org/registration_info.php	?	EN	OsGEO																					
																																																
1638232074	yes	20220317	20220318	FOSS Backstage	FOSS Backstage			https://foss-backstage.de 	hybrid-online	/img/eventbanners/2021/FOSSBack_2022.png	Berlin	DE	Tuechtig	https://www.openstreetmap.org/node/4729031305	52.5533166	13.3596927	https://foss-backstage.de/code-conduct	<p>The conference on everything related to governance, collaboration, legal and economics within the scope of FOSS. </p><p>Join us for two days of discussion and learning about non-technical aspects of open source development. Topics include open source project leadership best practices, community management, open source project metrics, open source strategy for enterprise, adopting open source collaboration in corporations, legal matters when dealing with open source and many more.</p>	20211123	https://pretalx.com/foss-backstage-2022/cfp	Business Event	Community,Governance	120€	https://foss-backstage.de/tickets	?	EN	Plain Schwarz		2018			?	?	?	UTC+2	https://twitter.com/fossbckstg					https://www.linkedin.com/showcase/foss-backstage							
21021		20200306	20200306	Open Belgium	Open Belgium		OpenBelgium20	http://www.openbelgium.be/			Hasselt	BE	Old Prison at the Campus Hassel	https://www.openstreetmap.org/way/158936029	50.93357	5.34238	https://2020.openbelgium.be/code-conduct	Open Belgium is an annual event about open knowledge and open data, gathering industry, research, government and citizen stakeholders. Experience this one-day community driven conference with talks, discussions, panels, workshops and become part of the open community.	20200103	https://docs.google.com/forms/d/e/1FAIpQLSdNiCH3DBcqnH6uySyTiRaMOFT3i1u5v4go4hU9zjciiuSR0Q/viewform	Community Event	Open Access,Open Knowledge,Open Data,Open Source	~79 €	https://www.eventbrite.co.uk/e/open-belgium-conference-2020-tickets-76868500755?aff=website	?																							
1638232793	yes	20220305	20220305	Open Data Day	Open Data Day			https://opendataday.org/										<p>Open Data Day is an annual celebration of open data all over the world. Groups from around the world create local events on the day where they will use open data in their communities. It is an opportunity to show the benefits of open data and encourage the adoption of open data policies in government, business and civil society.</p><p>All outputs are open for everyone to use and re-use.</p>			Global Day																											
21023		20210606	20210609	FOSSGIS-Konferenz	FOSSGIS-Konferenz 2021		fossgis	https://www.fossgis-konferenz.de/2021/		/img/eventbanners/2021/2021-fossgis-konferenz.png	Rapperswil	CH	Albert-Ludwigs-Universität	https://www.openstreetmap.org/node/240062727	47.2269	8.8031		<p>Die FOSSGIS-Konferenz ist die führende Konferenz für Freie und Open Source Software Geo-Software und OpenStreetMap.</p><p>Ziel der jährlich stattfindenden Konferenz ist die Verbreitung von Freier und Open Source Software für Geoinformationssysteme. Hier treffen sich Anwender und Entwickler zum gemeinsamen Austausch über Anwendungs- und Arbeitsmöglichkeiten sowie neuste Entwicklungen in diesem Bereich. Es geht um Webmapping, Geodateninfrastrukturen, Geodatenmanagement, GeoProcessing und Desktop-GIS und um freie Geodaten, wie OpenStreetMap.</p><p>Aufgrund der derzeitigen Pandemiesituation wird die FOSSGIS als hybride Veranstaltung geplant, d.h. es wird möglich sein nach Rapperswil zu reisen oder online teilzunehmen.</p><p>Die Konferenz wird vorwiegend durch ehrenamtliches Engagement getragen, wobei neben den Teilnehmergebühren, die Spenden- und vor allem die Sponsoren- und Ausstellerstandeinnahmen eine wichtige finanzielle Einnahmequelle darstellen, um die Kosten für die Konferenz zu decken und darüber hinaus Open Source Projekte zu fördern.</p>			Community Event	Open,Streetmap,				DE																						
21024		20200312	20200314	t3chfest	t3chfest		T3chfest2020	https://t3chfest.uc3m.es/2020/			Madrid	ES	Auditorio Universidad Carlos III	https://www.openstreetmap.org/#map=18/40.33250/-3.76546	40.3325	-3.76546	https://t3chfest.uc3m.es/2020/codigo-conducta/		20191215	https://t3chfest.es/2020/en/call-for-talks?utm_campaign=tw	Community Event	Hackathon,Programming	Zero	no	2000	ES										https://twitter.com/t3chfest												
21025		20210313	20210315	DrupalCamp London	DrupalCamp London 2021			https://drupalcamp.london/	online				On the internet				https://drupalcamp.london/about/code-of-conduct	DrupalCamp London 2021 is going online			Project Event	Drupal		yes	?	EN																						
21026		20210313	20210314	Chemnitzer Linux-Tage	Chemnitzer Linux-Tage 2021	CLT	CLT2021	https://chemnitzer.linux-tage.de/2021 	online	/img/eventbanners/2021/2021-chemnitzer-linux-tage.png		DE	On the internet				https://chemnitzer.linux-tage.de/2021/en/info/miteinander	<p>The Chemnitz Linux Days stand for a cosmopolitan and peaceful communication with each other. We promote and welcome an open society, from which many new and good ideas emerge. We warmly welcome guests of all nations and look forward to 16./17. March 2019 and our international audience at the 21. Chemnitzer Linux-Tagen</p>	20210110	https://chemnitzer.linux-tage.de/2021/en/programm/anmeldung/live	Community Event		?	?	3600 in the Technische Universität Chemnitz. Now for the first time online.	DE	Individual Network Chemnitz e.V.		1999		Mach es einfach anders.	?	?	?	UTC+2	http://chemnitzer.linux-tage.de/twitter	https://mastodon.social/@clt_news											
21027		20200320	20200320	Libre en Fête	Libre en Fête			https://www.libre-en-fete.net/2020/				FR					nococ				Regional Day				?																							
21028		20200329	20200329	Ansible Contributor Summit Europe	Ansible Contributor Summit Europe			https://www.eventbrite.com/e/ansible-contributor-summit-eu-registration-92039844653			Gothenburg	SE	Chalmers Conference Centre	https://www.openstreetmap.org/node/6390774037	57.68926	11.97338	https://docs.ansible.com/ansible/latest/community/code_of_conduct.html	The Ansible Contributor Summit is a full day of working sessions with the Ansible core team and community contributors. This year the European edition will be held in Gothenburg, in conjunction with foss-north 2020,as part of the Community Day.			Community Event	ansible	Zeroi	Yes	100	EN	Ansible (Red Hat)									https://twitter.com/ansible												
21029		20200327	20200328	openSUSE Summit Dublin	openSUSE Summit Dublin	openSUSE Summit		https://events.opensuse.org/conferences/Dublin			Dublin	IE	Convention Centre	https://www.openstreetmap.org/way/60270053	53.34823	-6.23953		The openSUSE Conference begins Friday, May 24, at 10 a.m. and will finish on Sunday, May 26. The openSUSE Conference is the annual openSUSE community event that brings people from around the world together to meet and collaborate. The organized talks, workshops, and BoF sessions provide a framework around more casual meet ups and hack sessions. A party here and there provides the time to relax and have fun, making connections on a more personal level.	20200214	https://events.opensuse.org/conferences/Dublin/program/proposals/new	Project Event	OpenSUSE,Dublin	?	https://events.opensuse.org/conferences/Dublin/register/new	?	EN	OpenSUSE									https://twitter.com/opensuse												
21030	linux	20200330	20200402	KubeCon + CloudNativeCon Europe	KubeCon + CloudNativeCon Europe			https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/			Amsterdam	NL	RAI Amsterdam Convention Centre	https://www.openstreetmap.org/way/548207841	52.34051	4.88892	https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/attend/code-of-conduct/	The Cloud Native Computing Foundation’s flagship conference gathers adopters and technologists from leading open source and cloud native communities in Amsterdam, The Netherlands from March 30 – April 2, 2020. Join Kubernetes, Prometheus, Envoy, CoreDNS, containerd, Fluentd, TUF, Jaeger, Vitess, OpenTracing, gRPC, CNI, Notary, NATS, Linkerd, Helm, Rook, Harbor, etcd, Open Policy Agent, CRI-O, TiKV, CloudEvents and Falco as the community gathers for four days to further the education and advancement of cloud native computing.	20191204	https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/	Business Event	Kubernetes, Prometheus, Cloud	450$	https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/register/	?	EN	Linux Foundation																					
21031		20200325	20200325	Document Freedom Day	Document Freedom Day			https://en.wikipedia.org/wiki/Document_Freedom_Day													Global Day																											
21032		20210515	20210515	Erlanger Linuxtag	Erlanger Linuxtag	erlug		https://erlug.de/Veranstaltung/erlanger-linuxtag-2020/	online-hybrid		Erlangen	DE	VHS-Erlangen: Café International	https://www.openstreetmap.org/way/104783535#map=19/49.59752/11.02464	49.59752	11.02464	nococ	<p>Liebe Linuxfreunde!</p><p>Heuer ist es leider noch nicht absehbar, ob wir unseren Linuxtag online oder vor Ort stattfinden lassen können. Daher planen wir heute beides ein. Bitte lasst Euch von den aktuellen Corona-Einschränkungen die Laune nicht verdrießen. Unser Call for Papers ist hiermit eröffnet.</p>	open	https://erlug.de/linuxtag/linuxtag-2021-call-for-papers/	Community Event	Linux	?	?	?	DE	Erlanger Linux User Group																					
21033	linux	20200329	20200330	Kubernetes Contributor Summit Europe	Kubernetes Contributor Summit Europe			https://events.linuxfoundation.org/kubernetes-contributor-summit-europe/			Amsterdam	NL	RAI Amsterdam Convention Centre	https://www.openstreetmap.org/way/548207841	52.34051	4.88892			20200207	https://docs.google.com/forms/d/e/1FAIpQLSfTv0YcPDomj5vPsMEodv9xS3Zd6CZWDVMcL0kGF8FjL9ADDA/viewform	Project Event	Kubernetes			?	EN	Linux Foundation																					
21034		20210531	20210601	foss-north	Foss-north 2021	Foss-north	fossnorth	https://foss-north.se/2021/ 	online				On the Internet				https://foss-north.se/2021/coc.html	foss-north is a free / open source conference covering both software and hardware from the technical perspective. Hosted in Gothenburg between Copenhagen, Oslo, and Stockholm, with an international airport, we provide a meeting place for the Nordic foss communities and will bring together great speakers with a great audience.	20200425	https://foss-north.se/2021/contribute.html#papers	Community Event	floss,foss	yes	yes	250	EN																						
21035		20210330	20210401	Collaborations Workshop	Collaborations Workshop 2021	CW21	CollabW21	https://www.software.ac.uk/cw21	online			UK	On the Internet				https://www.software.ac.uk/cw21/code-of-conduct	<p>The Software Sustainability Institute’s Collaborations Workshop series brings together researchers, developers, innovators, managers, funders, publishers, policy makers, leaders and educators to explore best practices and the future of research software. Collaborations Workshop 2021 (CW21) will take place online from Tuesday, 30th March to Thursday, 1st April 2021. </p><p>The themes of CW21 are:</p><ul><li>FAIR Research Software</li><li>Diversity and Inclusion</li><li>Software Sustainability</li></ul>			Science Event	Sustainability, FAIR, Inclusion	?	yes	?	EN	Software Sustainability Institute		2009			?	?	?	UTC+1	https://twitter.com/SoftwareSaved												
21036	n/a	20200402	20200402	European Open Source & Free Software Law Event	European Open Source & Free Software Law Event	EOLE	EOLE2020	http://eolevent.eu/			Turin	IT		https://www.openstreetmap.org/relation/43992	45.0736	7.6328	nococ	"<p>International annual conference cycle, the European Open Source & Free Software Law Event (EOLE) aims to promote the share and dissemination of legal knowledge related to free software, as well as the development and promotion of good practices. Initiative born in 2008 from practitioners' needs, EOLE has for purpose to develop a legal doctrine dedicated to the dissemination of neutral and qualitative information. This year, the one-day conference will take place in Turin (Italy) on April 2nd.</p><p>For a long time, Free and Open Source Software has been more a ""potential"" rather than a reality in Public Administration, dominated by large private sector IT contracts. In the last few years, however, Public Administrations around the world have really started to take FOSS seriously on a formal basis, with significant initiatives (such as laws fostering free software adoption or distribution by Public Administrations, and the EU ""Join-Up"" program).</p><p>This year's EOLE conference, held in association with CSI Piemonte, in the frame of Merge-it, in Torino on 2nd April 2020, will focus on the current legal issues of creating and using free and open source software in public administration.</p>"	20200301	http://eolevent.eu/call-contributions-eole-2020	Legal Event		Zero	<a href=”http://eolevent.eu/content/registration”>Possible</a> but not mandatory	200	EN	CSI Piemonte				Legal aspects on free software in public administrations: hands on.																	
21037		20210522	20210522	MERGE-it	MERGE-it	MERGE-it	mergeit20	https://merge-it.net/	online				On the Internet				nococ	<p> In Italia esistono tante realtà che si occupano di cultura e libertà digitali, sotto molti aspetti ed in molti modi. Scopo di MERGE-it è riunirle insieme, per conoscersi e farsi conoscere, discutere e dibattere, confrontarsi e misurarsi.</p><p>L'evento è aperto a tutti, la partecipazione gratuita, e non è richiesta registrazione.</p>			Community Event		Zero	no	?	IT																						
21038	n/a	20200404	20200405	Les Journées du Logiciel Libre	Les Journées du Logiciel Libre 2020	JDLL		https://jdll.org/			Lyon	FR	Maison Pour Tous – salle des Rancy 	https://www.openstreetmap.org/way/49680968	45.7559	4.84781	https://jdll.org/histoire/code-of-conduct	Lieu de rencontre bouillonnant depuis 1998, les journées du logiciel libre accueillent le temps d'un week-end les curieuses et curieux de tout bord. Qu'importe votre niveau, venez vous initier, partager vos idées, vos programmes, vos projets et construire ensemble des lendemains plus libres !	20200208	https://pretalx.jdll.org/jdll2020/login/?next=/jdll2020/cfp	Community Event	install party,info booths	Zero	no	?	FR																						
21039		20200407	20200407	Libertybits	Libertybits			https://libertybits.org/			Sofia	BG	Sofia Tech Park's Forum	https://www.openstreetmap.org/way/334366114	42.6684	23.3746	https://libertybits.org/code-of-conduct/	<p>The concentration of great power into very small number of players (a.k.a. centralization) puts them in a dominant position and leads to misuse of the acquired power. This includes governmental, political, economical and corporate power.</p><p>The goal of LibertyBits Conference is to stress out this critical ethical issue, focusing on 4 major topics (blockchain, privacy, free software and independent living) in order to reveal as much opportunities as possible about how we could avoid (or even escape) our dependency from the monopolies of power and how we can achieve more sustainable and peaceful life through decentralization.</p>					3	yes	?	EN																						
21040		20200411	20200419	Trustroots Hackweek	Trustroots Hackweek Spring 2020			https://wiki.trustroots.org/en/Hackweek_Spring_2020	online		The Internet		tba		51.3409	12.2892	nococ	<p>Trustroots is still going strong since the launch back in 2016, but keeping momentum is these kind of projects is hard, we've been having a bit of a reboot of the team, now that some of the founders are less available with the usual family and work commitments.</p><p>We've been having regular video meetings for the last few months, and want to connect more with each other and the wider community of users to help build the future of Trustroots. This is a really crucial time for defining the future of the platform, there are many ideas and many directions.</p><p>Not many platforms manage to be free from commercialization or data violations, so please, help us to keep Trustroots resilient!</p>			Hackmeeting	trustroots,couchsurfing,	Zero	Space is not an issue and anyone can join!	?	EN		"<p><strike>It's being held in a community house project, accommodation is free, and a mix of dorms, communal sleeping, and a small number of private rooms available.</strike></p><p><strike>Food is saved, and free, your dietary needs will be accommodated :) We will expect your participation in food preparation and other ""domestic"" tasks as needed throughout the week.</strike></p>"																				
21041		20200417	20200418	JASYP	Jornadas de Anonimato, Seguridad y Privacidad	JASYP		https://interferencias.tech/jasyp/			Granada	ES	Escuela Técnica Superior de la UGR	https://www.openstreetmap.org/#map=12/37.1973/-3.62457	37.1972	-3.6246	nococ	<p>En Interferencias creemos que no hay nada más importante que las comunidades y las personas que las hacen posibles, por eso siempre hemos querido contribuir intentando ayudar a crear espacios donde las personas puedan expresar libremente sus inquietudes en materia de derechos digitales y seguridad informática. Aunque la tecnología puede ayudarnos en la comunicación de forma muy simple (algo que de otra forma, quizás sería imposible), también nos gusta no perder la cercanía y la espontaneidad del intercambio de conocimientos, opiniones e ideas en persona.</p><p>Ese motivo es que nos llevó a empezar a planear las JASYP (Jornadas sobre Anonimato, Seguridad y Privacidad), unas jornadas que llevamos organizando ya varios años (2017, 2018, 2019) y donde se han tratado todo tipo de temas relacionados: vigilancia masiva, anonimato, criptografía, hacktivismo, antropología social, software libre, censura, criptomonedas, domótica, reconocimiento facial, sistemas biométricos, voto electrónico…</p><p>Por eso, otro año más nos hemos puesto manos a la obra con la organización de la edición del año 2020. A lo largo de estos años hemos conocido a un montón de gente de grupos como BitUp Alicante, Follow the White Rabbit, Hack&Beers (que todos los años ha servido como fiesta de presentación previa a las Jornadas), Hacking Desde Cero o HackMadrid%27, pero también ha participado un gran número de personas independiente que tenían cosas muy interesantes que contar.</p><p>Todo esto es lo que nos gustaría que siguiera aumentando para llegar a tanta gente como sea posible; y claro está, aprovechar también las oportunidades que nos da nuestra tierra para compartir buenos ratos visitando nuestros bares o paseando por nuestros monumentos.</p>	20200309	https://interferencias.tech/jasyp/	Community Event	anonimity,privacy	Zero	no	?	ES		The event is accompanied with an art exhibition related to privacy. 	2017							https://twitter.com/inter_ferencias	https://mastodon.technology/@interferencias											
