approved	datestart	dateend	label	name	shortname	hashtag	homepage	city	country	venue	OSM-Link	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Twitter	Facebook	Mastodong
--	20190604	20190606	deRSE19	deRSE19	--	--	https://www.de-rse.org/de/conf2019/index.html	Potsdam	DE	Wissenschaftspark Albert Einstein	https://www.openstreetmap.org/#map=17/52.38132/13.06396	https://www.de-rse.org/de/conf2019/index.html	Erste Konferenz für ForschungssoftwareentwicklerInnen in Deutschland	--	--	--	--	--	--	--	--			
--	20190608	20190609	TuxCon	TuxCon	--	TuxCon	http://tuxcon.mobi/	Plovdiv	BG	--	--	--	TuxCon is an annual event about free and open source software and hardware. The entrance is free for all visitors. TuxCon is a community event and it is organized by volunteers. The twitter hashtag of the event is #TuxCon.	--	--	--	--	--	--	--	--			
--	20190605	20190609	MiniDebConf in Hamburg	MiniDebCamp and MiniDebConf in Hamburg	--	--	https://wiki.debian.org/DebianEvents/de/2019/MiniDebConfHamburg	Hamburg	DE	--	--	--	--	--	--	--	--	--	--	--	--			
yes	20200606	20200607	DrupalCamp Kyiv	DrupalCamp Kyiv 2020	--	--	https://drupalcampkyiv.org/en	Kiev	UA	Mercure Kyiv Congress Hal	https://www.openstreetmap.org/#map=18/50.45002/30.44298	--	We are gathering as much drupalists as we can in Ukraine and from neighbour countries to have fun and learn something new.	--	--	Conference,Project	Drupal	50-100	yes	400	EN			
--	20190611	20190611	Sharing & Reuse Conference	Sharing & Reuse Conference	--	--	https://joinup.ec.europa.eu/collection/sharing-and-reuse-it-solutions/sharing-reuse-conference-2019	Bucharest	RO	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190612	20190612	UK Open Source Awards	UK Open Source Awards	--	--	https://opensourceawards.org/	Edinburgh	UK	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190612	20190613	OW2Con	OW2Con	--	--	https://www.ow2con.org/view/2019	Paris	France	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190615	20190616	Jornadas de tecnología y cultura libre	Jornadas de tecnología y cultura libre	--	--	https://jornadaslibr.es/	Madrid	ES	--	--	--	--	--	--	--	--	--	--	--	--			
yes	20200618	20200621	DrupalCamping	DrupalCamping am Allersee	--	--	https://groups.drupal.org/node/535334	Wolfsburg	DE	Allersee	https://www.openstreetmap.org/way/131652496	--	--	--	--	Conference,Camping	Drupal	--	yes	--	DE	https://twitter.com/drupalcamping	https://www.facebook.com/DrupalCamping	
--	20190620	20190620	Open Expo	OpenExpo Europe	OpenExpo	OpenExpo19	https://openexpoeurope.com/	Madrid	ES	La N@ve	https://www.openstreetmap.org/way/37995038	--	--	--	--	--	--	--	--	--	--			
--	20190621	20190621	esLibre	esLibre	--	--	https://eslib.re/2019/	Granada	ES	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190620	20190622	WordCamp Europe	WordCamp Europe	--	--	https://2019.europe.wordcamp.org/	Berlin	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190627	20190630	Pas sage en seine	Pas sage en seine	--	--	https://passageenseine.fr/	Choisy-le-Roi	FR	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190701	20190703	Pass the SALT	Pass the SALT	--	--	https://2019.pass-the-salt.org/	Lille	FR	Polytech Lille	https://www.openstreetmap.org/way/79509053	https://2019.pass-the-salt.org/code-of-conduct/	--	--	--	--	--	--	--	--	--			
--	20190706	20190706	Tübix	Tübix	--	--	http://tuebix.org	Tübingen	DE	Gebäude auf dem Sand	https://www.openstreetmap.org/way/8044916#map=17/48.53476/9.07111	--	--	--	--	--	--	--	--	--	--			
--	20190725	20190728	Camp++	Camp++	--	--	https://camp.hsbp.org/2019/pp7e3/	Komárom	HU	Fort Monostor	https://www.openstreetmap.org/?mlat=47.750556&mlon=18.093889&zoom=15#map=15/47.7506/18.0939	--	--	--	--	--	--	--	--	--	--			
yes	20200729	20200802	Italian Hacker Camp	Italian Hacker Camp 2020	IHC	IHC2020	https://ihc.camp	Padua	IT	FENICE Green Energy Park	https://www.openstreetmap.org/way/37959510	--	--	--	--	Conference,Community,Camping	Self-Organized,bi-yearly,	--	yes	650	EN	https://twitter.com/ihc_camp		
--	20190801	20190804	Technik Camp	Technik Camp	--	--	https://freifunk-bodensee.net/camp/	Überlingen	DE	Campus der Waldorfschule Überlingen	https://ffbsee.net/map/	--	--			Conference,Community,Camping,Festival	CCC	--	--	--	--			
--	20190808	20190815	BornHack	Bornhack	--	--	https://bornhack.dk/bornhack-2019/	--	--	--	--	--	--	20190601	https://bornhack.dk/bornhack-2019/program/call-for-participation/	--	--	--	--	--	--			
--	20190808	20190811	Flock	Flock	--	--	https://flocktofedora.org/	--	--	--	--	--	--			Conference,Project	Fedora	--	--	--	--			
--	20190810	20190811	FrOSCon	Froscon	--	--	https://www.froscon.de/en/	--	--	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190812	20190818	Linux Bierwanderung	Linux Bierwanderung	--	--	https://linuxbierwanderung.com/	South Shropshire	UK	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190814	20190818	Wikimania	Wikimania	--	--	https://wikimania2019.wikimedia.org/	Stockholm	SE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190820	20190822	OpenSym	OpenSym	--	--	http://opensym.org/os2019/	Skövde	SE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190822	20190825	LVEE	Linux Vacation / Eastern Europe	LVEE	--	https://lvee.org/en/	Minsk	BY	--	--	--	--	20190804	https://lvee.org/en/reports/abstract	--	--	--	--	--	--			
--	20190821	20190825	Chaos Communication Camp	Chaos Communication Camp	CCCamp	camp19	https://events.ccc.de/camp/2019/wiki/Main_Page	Mildenberg	DE	Ziegeleimuseum Mildenberg	https://www.openstreetmap.org/#map=15/53.0306/13.3067	--	--	20190611	https://events.ccc.de/2019/05/22/call-for-participation-chaos-communication-camp-2019/	Conference,Community,Camp,Festival	CCC	295	yes	5000	--			
--	20190823	20190828	GUADEC	GNOME Users And Developers European Conference	GUADEC	guadec	https://2019.guadec.org/	Thessaloniki	GR	University of Macedonia	https://www.openstreetmap.org/way/14791176	https://2019.guadec.org/pages/code-of-conduct.html	--	20190519	https://www.gnome.org/news/2019/04/guadec-2019-call-for-papers/	Conference,Community,Unconference	Gnome	0	--	--	--			
--	20190830	20190808	Wuthering Bytes	Wuthering Bytes	--	--	https://wutheringbytes.com/	Hebden Bridge	UK	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190904	20190906	GNU Hackers Meeting	GNU Hackers Meeting	--	--	https://www.gnu.org/ghm/2019/	Madrid	ES	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190907	20190908	ActivityPub Conference	ActivityPub Conference	--	--	https://dustycloud.org/blog/activitypub-conf-2019/	Prague	CZ	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190907	20190913	Akademy	Akademy	--	--	https://akademy.kde.org/	Milan	IT	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190909	20190911	Linux Plumbers Conference	Linux Plumbers Conference	--	--	https://www.linuxplumbersconf.org/	Lisbon	PT	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190910	20190913	LibreOffice Conference	LibreOffice Conference	--	--	https://conference.libreoffice.org/2019/	Almería	ES	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190911	20190912	Cloud Foundry Summit Europe	Cloud Foundry Summit Europe	--	--	https://www.cloudfoundry.org/event/eusummit2019/	The Hague	NL	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190912	20190912	Kernel Maintainer Summit	Kernel Maintainer Summit	--	--	https://events.linuxfoundation.org/events/linux-kernel-maintainer-summit-2019/	Lisbon	PT	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190913	20190915	BalCCon2k19	BalCCon2k19	--	--	https://2k19.balccon.org/index.php?title=BalCCon2k19_CfP	Novi Sad	RS	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190914	20190914	Open Source and GNU/Linux	Open Source and GNU/Linux	--	--	https://osdn.org.ua/	Kiev	UA	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190914	20190914	Tech201909Party	Tech201909Party	--	--	http://techparty.online/	Madrid	ES	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190914	20190915	Nextcloud conference	Nextcloud conference	--	--	https://nextcloud.com/conf/	Berlin	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190917	20190917	Bitkom Forum Open Source	Bitkom Forum Open Source	--	--	https://www.bitkom.org/bfoss19	Erfurt	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190917	20190920	Owncloud Conference	Owncloud Conference	--	--	https://conference.owncloud.org/	Nuremberg	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190918	20190922	End Summer Camp	End Summer Camp	--	--	https://www.endsummercamp.org/	Venezia Tessera	Italy	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190920	20190921	Kieler Linuxtage	Kieler Linuxtage	--	--	https://www.kieler-linuxtage.de/	Kiel	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190920	20190922	Datenspuren	Datenspuren	--	--	https://wiki.c3d2.de/Datenspuren_2019	Dresden	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190920	20190922	Hackmeeting	Hackmeeting	--	--	https://es.hackmeeting.org/hm/index.php?title=Hackmeeting2019	Errekaleor-Gasteiz	ES	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190920	20190922	FixFest_Reparatur-Festival	FixFest_Reparatur-Festival	--	--	https://reparatur-festival.runder-tisch-reparatur.de/	Berlin	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190921	20190921	Software Freedom Day around the globe	Software Freedom Day around the globe	--	--	http://www.softwarefreedomday.org/	--	--	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190921	20190923	State of the Map	State of the Map	--	--	https://2019.stateofthemap.org/	Heidelberg	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190923	20190925	Open Networking Summit	Open Networking Summit	ONS	--	https://events.linuxfoundation.org/events/open-networking-summit-europe-2019/	Antwerp	BE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190923	20190926	INFORMATIK2019	INFORMATIK2019	--	--	https://gi.de/veranstaltung/informatik-2019-jahrestagung-der-gesellschaft-fuer-informatik/	Kassel	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190926	20190929	Digitalfestival	Digitalfestival	--	--	http://www.digitalfestival.ch/	Zurich	CH	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190927	20190927	educode	educode	--	--	https://educode.be/	Brussels	BE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190930	20190902	Percona Live	Percona Live	--	--	https://www.percona.com/live/19/	Amsterdam	NL	--	--	--	--	--	--	--	--	--	--	--	--			
--	20190930	20190902	Open-Access-Tage	Open-Access-Tage	--	--	https://open-access.net/community/open-access-tage/open-access-tage-2019	Hannover	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191004	20191004	OpenSource Lisbon	OpenSource Lisbon	--	--	https://opensourcelisbon.com/	Lisbon	PT	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191004	20191006	Hackers Congress	Hackers Congress	--	--	https://opt-out.hcpp.cz/	Prague	CZ	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191004	20191006	PyConES (Python conference)	PyConES (Python conference)	--	--	http://2019.es.pycon.org/	Alicante	ES	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191004	20191006	suckless conference	suckless conference	--	--	https://suckless.org/conferences/2019/	Bad Liebenzell	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191005	20191006	LinuxDays	LinuxDays	--	--	https://www.linuxdays.cz/2019/en/	Prague	CZ	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191010	20191013	Ubucon Europe	Ubucon Europe	--	--	http://ubucon.org/en/events/ubucon-europe/	Sintra	PT	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191011	20191013	FOSSCOM	FOSSCOM	--	--	https://2019.fosscomm.gr/	Lamia	GR	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191012	20191012	Hacktoberfest Poznań Meetup	Hacktoberfest Poznań Meetup	--	--	https://hacktoberfest.pl/	Poznań	PL	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191017	20191018	TYPO3 Conference	TYPO3 Conference	--	--	https://t3con19.typo3.com/	The Hague	NL	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191018	20191018	DINAcon	DINAcon	--	--	https://dinacon.ch/	Bern	CH	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191019	20191019	GNU/LinuxDay – Vorarlberg	GNU/LinuxDay – Vorarlberg	--	--	https://www.linuxday.at/	Dornbirn	AU	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191019	20191020	OggCamp (Free Culture/FLOSS Unconference)	OggCamp (Free Culture/FLOSS Unconference)	--	--	http://oggcamp.org/	Sheffield	UK	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191022	20191024	ApacheCon Europe	ApacheCon Europe	--	--	https://aceu19.apachecon.com/	Berlin	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191025	20191026	WikidataCon	WikidataCon	--	--	https://www.wikidata.org/wiki/Wikidata:WikidataCon_2019	Berlin	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191025	20191027	NixCon	NixCon 2019	--	--	https://2019.nixcon.org/	Brno	CZ	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191025	20191027	MiniDebConf in Vaumarcus	MiniDebConf in Vaumarcus	--	--	https://wiki.debian.org/DebianEvents/ch/2019/Vaumarcus	Vaumarcus	CH	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191026	20191026	PSSOH Conference	PSSOH Conference	--	--	http://pssoh.etf.bg.ac.rs/	Belgrade	RS	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191026	20191026	Linux Day across Italy	Linux Day across Italy	--	--	http://www.linuxday.it/	--	--	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191026	20191027	Sonoj Convention	Sonoj Convention	--	--	https://www.sonoj.org/	Cologne	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191028	20191030	Open Source Summit + Embedded Linux Conference Europe	Open Source Summit + Embedded Linux Conference Europe	--	--	https://www.linuxfoundation.org/press-release/2019/01/the-linux-foundation-announces-2019-events-schedule/	Lyon	FR	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191102	20191102	EmacsConf	EmacsConf	--	--	https://emacsconf.org/2019/	Online	--	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191102	20191103	OpenFest	OpenFest	--	--	https://www.openfest.org/	Sofia	BG	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191107	20191108	Promcon	Promcon	--	--	https://promcon.io/2019-munich/	Munich	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191109	20191109	OSHWDem	OSHWDem	--	--	https://oshwdem.org/	A Coruña	ES	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191112	20191115	Linux App Summit	Linux App Summit	--	--	https://linuxappsummit.org/	Barcelona	ES	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191115	20191115	SFScon	SFScon	--	--	https://www.sfscon.it/	Bozen	IT	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191116	20191116	Linux Presentation Day 2019.2	Linux Presentation Day 2019.2	--	--	http://linux-presentation-day.org/	--	--	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191116	20191117	Capitole du libre	Capitole du libre	--	--	https://2019.capitoledulibre.org/	Toulouse	FR	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191121	20191123	Piksel	Piksel	--	--	http://piksel.no/	Bergen	NO	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191122	20191124	FIfFKon	FIfFKon	--	--	https://2019.fiffkon.de/	Bremen	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191206	20191206	NorthernRST	--	--	--	https://northernrst.com/	Aberdeen	UK	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191213	20191215	GNU Health Con	GNU Health Con	--	--	http://www.gnuhealthcon.org/2019-liege/	Liège	BE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191227	20191230	36th Chaos Communication Conference	36th Chaos Communication Conference	--	ccc,36c3	https://events.ccc.de/congress/2019/wiki/index.php	Leipzig	DE	--	--	--	--	--	--	--	--	--	--	--	--			
--	20191210	20191211	Paris Open Source Summit	Paris Open Source Summit	POSS	--	https://www.opensourcesummit.paris/	Paris	FR	--	--	--	--	--	--	--	--	--	--	--	--			
